Q1304750 | P94 | "Coat of Arms of Ciudad de la Plata (Sucre).png"
Q1142006 | P94 | "Escudo de Padilla.png"
Q1142267 | P94 | "Escudo de la ciudad de Macharetí.png"
Q1585089 | P94 | "Escudo Municipio de Tipuani.jpg"
Q1952931 | P94 | "Escudo de Armas de la Villa Real de Oropesa (Cochabamba).png"
Q1485787 | P94 | "Escudo del Municipio de Independencia, capital de la provincia Ayopaya.jpg"
Q1516966 | P94 | "ANZALDO FONDO (PNG)1.png"
Q547615 | P94 | "ESCUDO SACABAMBA.jpg"
Q1295948 | P94 | "Escudo cliza.png"
Q1553258 | P94 | "Escudo de Quillacollo.jpg"
Q647748 | P94 | "Escudo de Caracollo - Powered by rithchard.jpg"
Q523242 | P94 | "Escudo de la Ciudad de la Plata de la Nueva Toledo del Charcas (Sucre).png"
Q933162 | P94 | "FB IMG escudo de colquechaca.jpg"
Q1477914 | P94 | "Escudo de Pocoata.jpg"
Q624520 | P94 | "Escudo del municipio de Toro Toro.png"
Q1477662 | P94 | "Escudo de Tupiza.gif"
Q1107974 | P94 | "ESCUDO DE SANTA CRUZ.png"
Q1108279 | P94 | "Escudo de Pailón.jpg"
Q1108292 | P94 | "Escudo de Robore.jpg"
Q598031 | P94 | "Escudo de charagua.jpg"
Q1029614 | P94 | "Escudo de Camiri.jpg"
Q1108209 | P94 | "Escudo de Mairana.jpg"
Q1108183 | P94 | "Escudo San Ramón, Beni.jpg"
Q204307 | P94 | "ESCUDO OFICIAL-GOBIERNO AUTONOMO MUNICIPAL DE SAN JULIAN-Declarado Mediante Ley Municipal Nº 002 de 23-Sep--2013 2013-12-10 23-18.jpeg"
Q1108256 | P94 | "Escudo Puerto Quijarro.jpg"
Q842343 | P94 | "Escudo de la ciudad de Trinidad.png"
Q1487963 | P94 | "Escudo de la Ciudad de Guayaramerin.jpg"
Q1516822 | P94 | "Escudo de municipio de Reyes, Beni.jpg"
Q2631821 | P94 | "Escudo de San Borja, Beni.jpg"
Q1516796 | P94 | "Escudo de Santa Rosa del Yacuma, Beni.jpg"
Q1516809 | P94 | "Escudo de Rurrenabaque.jpg"
Q685208 | P94 | "ESCUDO SANTA ANA DEL YACUMA.JPG"
Q1814613 | P94 | "Escudo de Exaltación de la Santa Cruz, Beni.jpg"
Q1953160 | P94 | "Escudo municipio de San Ignacio de Moxos.jpg"
Q1292997 | P94 | "Escudo municipio de San Joaquín de aguas dulces.jpg"
Q1516817 | P94 | "Escudo de Puerto Siles, Beni.jpg"
Q1701421 | P94 | "Escudo Magdalena, Beni.jpg"
Q1814580 | P94 | "Escudo municipal de Baures.jpg"
