idioma,c2012_total,c2012_hombres,c2012_mujeres,c2012_urbana,c2012_rural,c2024_total,c2024_hombres,c2024_mujeres,c2024_urbana,c2024_rural
BOLIVIA,8756348,4354435,4401913,5927116,2829232,10216385,5094971,5121414,7094525,3121860
Idiomas oficiales,7675076,3813496,3861580,5139179,2535897,10071583,5019588,5051995,7041013,3030570
Afroboliviano,NA,NA,NA,NA,NA,428,207,221,52,376
Araona,24,9,15,2,22,99,57,42,2,97
Aymara,836570,404543,432027,329450,507120,576798,267372,309426,143706,433092
Baure,21,11,10,15,6,10,4,6,6,4
Bésiro,2401,1209,1192,602,1799,1341,727,614,443,898
Canichana,7,4,3,1,6,7,6,1,3,4
Castellano,5424685,2725785,2698900,4312320,1112365,8385257,4220637,4164620,6612138,1773119
Cayubaba,12,8,4,3,9,5,2,3,3,2
Chácobo,806,429,377,41,765,1037,531,506,46,991
Ese ejja,676,336,340,18,658,1175,611,564,263,912
Guaraní,39307,19692,19615,10331,28976,36174,18086,18088,5246,30928
Guarasu've,0,0,0,0,0,0,0,0,0,0
Gwarayu,6980,3466,3514,5965,1015,6503,3272,3231,5589,914
Itonama,29,17,12,26,3,34,19,15,32,2
Joaquiniano,NA,NA,NA,NA,NA,7,3,4,5,2
Kabineña,733,377,356,114,619,891,481,410,51,840
Leco,53,33,20,17,36,76,49,27,25,51
Macha'juyay kallawaya,1,0,1,1,0,9,8,1,0,9
Machineri,9,6,3,0,9,9,7,2,0,9
Maropa,116,67,49,43,73,25,16,9,13,12
Mojeño-ignaciano,1051,591,460,693,358,277,157,120,191,86
Mojeño-trinitario,2585,1380,1205,864,1721,1400,722,678,377,1023
Moré,8,6,2,1,7,8,7,1,7,1
Mosetén,757,414,343,48,709,739,386,353,41,698
Movima,502,288,214,295,207,167,99,68,101,66
Pacahuara,6,2,4,0,6,25,13,12,0,25
Puquina,76,41,35,23,53,50,26,24,11,39
Quechua,1339919,645546,694373,476530,863389,1033963,493205,540758,270951,763012
Sirionó,160,76,84,16,144,66,40,26,7,59
Tacana,812,470,342,198,614,548,314,234,77,471
Tapiete,48,28,20,6,42,47,29,18,7,40
Tsimane',8904,4727,4177,417,8487,15266,7983,7283,205,15061
Uru-chipaya,1383,691,692,30,1353,1853,942,911,17,1836
Weenhayek,3482,1776,1706,543,2939,4216,2062,2154,609,3607
Yaminawa,127,63,64,5,122,102,51,51,9,93
Yuqui,123,63,60,22,101,234,119,115,3,231
Yurakaré,1345,653,692,64,1281,802,395,407,53,749
Zamuco,1177,597,580,365,812,1589,774,815,711,878
Otras declaraciones,181,92,89,110,71,346,169,177,13,333
Lengua de señas,NA,NA,NA,NA,NA,1649,811,838,1380,269
No habla,11944,6273,5671,6543,5401,18326,9981,8345,12129,6197
Sin especificar,922556,456157,466399,682947,239609,34293,17765,16528,21625,12668
