{{Short description|Municipality of Pernambuco, Brazil}}

{{Infobox settlement
<!-- See Template:Infobox settlement for additional fields and descriptions -->| name = Feira Nova
| official_name = 
| native_name = <!-- if different from the English name -->
| native_name_lang = <!-- ISO 639-2 code e.g. "fr" for French. If more than one, use {{lang}} instead -->
| other_name = 
| settlement_type = [[City]]
<!-- transliteration(s) -------->| translit_lang1 = 
| translit_lang1_type = 
| translit_lang1_info = 
| translit_lang1_type1 = 
| translit_lang1_info1 = 
| translit_lang1_type2 = 
| translit_lang1_info2 = <!-- etc., up to translit_lang1_type6 / translit_lang1_info6 -->
| translit_lang2 = 
| translit_lang2_type = 
| translit_lang2_info = 
| translit_lang2_type1 = 
| translit_lang2_info1 = 
| translit_lang2_type2 = 
| translit_lang2_info2 = <!-- etc., up to translit_lang2_type6 / translit_lang2_info6 -->
<!-- images, nickname, motto --->| image_skyline = 
| imagesize = 
| image_alt = 
| image_caption = 
| image = <!-- other image (specify File: or Image: namespace) -->
| image_flag = Feira Nova-pe.png
| flag_size = 
| flag_alt = 
| flag_border = 
| flag_link = 
| image_shield = 
| shield_size = 
| shield_alt = 
| shield_link = 
| image_blank_emblem = 
| blank_emblem_type = <!-- defaults to Logo -->
| blank_emblem_size = 
| blank_emblem_alt = 
| blank_emblem_link = 
| nickname = 
| motto = 
| anthem = <!-- maps and coordinates ------>
| image_map = 
| mapsize = 
| map_alt = 
| map_caption = 
| image_map1 = 
| mapsize1 = 
| map_alt1 = 
| map_caption1 = 
| image_dot_map = 
| dot_mapsize = 
| dot_map_base_alt = 
| dot_map_alt = 
| dot_map_caption = 
| dot_x = 
| dot_y = 
| pushpin_map = Brazil
| pushpin_label_position = <!-- position of the pushpin label: left, right, top, bottom, none -->
| pushpin_label = Feira Nova
| pushpin_map_alt = 
| pushpin_mapsize = 
| pushpin_map_caption = Feira Nova located in Brazil Map
| pushpin_map1 = 
| pushpin_label_position1 = 
| pushpin_label1 = <!-- only necessary if "name" or "official_name" are too long -->
| pushpin_map_alt1 = 
| pushpin_mapsize1 = 
| pushpin_map_caption1 = 
| coordinates = {{coord|7|57|03|S|35|23|20|W|format=dms|display=inline,title}}
| coor_pinpoint = <!-- to specify exact location of coordinates (was coor_type) -->
| coordinates_footnotes = <!-- for references: use <ref> tags -->
<!-- location ------------------>| subdivision_type = Country
| subdivision_name = {{flagicon|BRA}} [[Brazil]]
| subdivision_type1 = [[States of Brazil|State]]
| subdivision_name1 = [[Pernambuco]]
| subdivision_type2 = Region
| subdivision_name2 = [[Agreste]]
<!-- established --------------->| established_title = <!-- Settled -->
| established_date = 
| established_title1 = <!-- Incorporated (town) -->
| established_date1 = 
| established_title2 = <!-- Incorporated (city) -->
| established_date2 = 
| established_title3 = 
| established_date3 = 
| extinct_title = 
| extinct_date = 
| founder = 
| named_for = <!-- seat, smaller parts ------->
| seat_type = <!-- defaults to: Seat -->
| seat = 
| seat1_type = <!-- defaults to: Former seat -->
| seat1 = 
| parts_type = <!-- defaults to: Boroughs -->
| parts_style = <!-- list, coll (collapsed list), para (paragraph format) -->
| parts = <!-- parts text, or header for parts list -->
| p1 = 
| p2 = <!-- etc., up to p50: for separate parts to be listed-->
<!-- government type, leaders -->| government_footnotes = <!-- for references: use <ref> tags -->
| government_type = 
| governing_body = 
| leader_party = 
| leader_title = 
| leader_name = <!-- add &nbsp; (no-break space) to disable automatic links -->
| leader_title1 = 
| leader_name1 = <!-- etc., up to leader_title4 / leader_name4 -->
<!-- display settings  --------->| total_type = <!-- to set a non-standard label for total area and population rows -->
| unit_pref = <!-- enter: Imperial, to display imperial before metric -->
<!-- area ---------------------->| area_footnotes = <!-- for references: use <ref> tags -->
| area_magnitude = <!-- use only to set a special wikilink -->
| dunam_link = <!-- If dunams are used, this specifies which dunam to link. -->
| area_total_km2 = 107.75
| area_total_sq_mi = <!-- see table @ Template:Infobox settlement for details -->
| area_total_ha = 
| area_total_acre = 
| area_total_dunam = <!-- used in Middle East articles only -->
| area_land_km2 = 
| area_land_sq_mi = 
| area_land_ha = 
| area_land_acre = 
| area_land_dunam = <!-- used in Middle East articles only -->
| area_water_km2 = 
| area_water_sq_mi = 
| area_water_ha = 
| area_water_acre = 
| area_water_dunam = <!-- used in Middle East articles only -->
| area_water_percent = 
| area_urban_footnotes = <!-- for references: use <ref> tags -->
| area_urban_km2 = 
| area_urban_sq_mi = 
| area_urban_ha = 
| area_urban_acre = 
| area_urban_dunam = <!-- used in Middle East articles only -->
| area_rural_footnotes = <!-- for references: use <ref> tags -->
| area_rural_km2 = 
| area_rural_sq_mi = 
| area_rural_ha = 
| area_rural_acre = 
| area_rural_dunam = <!-- used in Middle East articles only -->
| area_metro_footnotes = <!-- for references: use <ref> tags -->
| area_metro_km2 = 
| area_metro_sq_mi = 
| area_metro_ha = 
| area_metro_acre = 
| area_metro_dunam = <!-- used in Middle East articles only -->
| area_rank = 
| area_blank1_title = 
| area_blank1_km2 = 
| area_blank1_sq_mi = 
| area_blank1_ha = 
| area_blank1_acre = 
| area_blank1_dunam = <!-- used in Middle East articles only -->
| area_blank2_title = 
| area_blank2_km2 = 
| area_blank2_sq_mi = 
| area_blank2_ha = 
| area_blank2_acre = 
| area_blank2_dunam = <!-- used in Middle East articles only -->
| area_note = <!-- dimensions ----------------->
| dimensions_footnotes = <!-- for references: use <ref> tags -->
| length_km = 
| length_mi = 
| width_km = 
| width_mi = <!-- elevation ----------------->
| elevation_footnotes = <!-- for references: use <ref> tags -->
| elevation_m = 154
| elevation_ft = 
| elevation_max_footnotes = <!-- for references: use <ref> tags -->
| elevation_max_m = 
| elevation_max_ft = 
| elevation_min_footnotes = <!-- for references: use <ref> tags -->
| elevation_min_m = 
| elevation_min_ft = <!-- population ---------------->
| population_footnotes = <ref name="IBGE">{{cite web |url=https://cidades.ibge.gov.br/brasil/pe/feira-nova/panorama |title=IBGE 2025 |author=Brazilian Institute of Geography and Statistics (IBGE)}}</ref>
| population_total = 21,427
| population_as_of = [[2022 Brazilian Census|2022 Census]]
| population_rank = 
| population_density_km2 = <!-- for automatic calculation of any density field, use: auto -->
| population_density_sq_mi = 
| population_est = 22,222
| pop_est_as_of = 2025
| population_urban_footnotes = 
| pop_est_footnotes = <ref name="IBGE"/>
| population_urban = 2025
| population_density_urban_km2 = 
| population_density_urban_sq_mi = 
| population_rural_footnotes = 
| population_rural = 
| population_density_rural_km2 = 
| population_density_rural_sq_mi = 
| population_metro_footnotes = 
| population_metro = 
| population_density_metro_km2 = 
| population_density_metro_sq_mi = 
| population_density = 
| population_density_rank = 
| population_blank1_title = 
| population_blank1 = 
| population_density_blank1_km2 = 
| population_density_blank1_sq_mi = 
| population_blank2_title = 
| population_blank2 = 
