lang_name,lang_code,speaker_bo,source_url,wp_url
North Bolivian Quechua,qul,2400000,https://www.ethnologue.com/language/qul/,https://en.wikipedia.org/wiki/North_Bolivian_Quechua
Central Aymara,ayr,1180000,https://www.ethnologue.com/language/ayr/,https://en.wikipedia.org/wiki/Aymara_language
Chiquitano,cax,150000,https://www.ethnologue.com/language/cax/,https://en.wikipedia.org/wiki/Chiquitano_language
Eastern Bolivian Guaraní,gui,33000,https://www.ethnologue.com/language/gui/,https://en.wikipedia.org/wiki/Eastern_Bolivian_Guaraní
Guarayu,gyr,5900,https://www.ethnologue.com/language/gyr/,https://en.wikipedia.org/wiki/Guarayu_language
Chimané,cas,5300,https://www.ethnologue.com/language/cas/,https://en.wikipedia.org/wiki/Tsimané_language
Trinitario,trn,3100,https://www.ethnologue.com/language/trn/,https://en.wikipedia.org/wiki/Trinitario_language
Chipaya,cap,1500,https://www.ethnologue.com/language/cap/,https://en.wikipedia.org/wiki/Chipaya_language
Tacana,tna,1200,https://www.ethnologue.com/language/tna/,https://en.wikipedia.org/wiki/Tacana_language
Ignaciano,ign,1080,https://www.ethnologue.com/language/ign/,https://en.wikipedia.org/wiki/Ignaciano_language
Ayoreo,ayo,700,https://www.ethnologue.com/language/ayo/,https://en.wikipedia.org/wiki/Ayoreo_language
Cavineña,cav,600,https://www.ethnologue.com/language/cav/,https://en.wikipedia.org/wiki/Cavineña_language
Mosetén,mst,600,https://www.ethnologue.com/language/mst/,https://en.wikipedia.org/wiki/Mosetén_language
Chácobo,cao,550,https://www.ethnologue.com/language/cao/,https://en.wikipedia.org/wiki/Chácobo_language
Ese Ejja,ese,500,https://www.ethnologue.com/language/ese/,https://en.wikipedia.org/wiki/Ese_Ejja_language
Yuracaré,yuy,400,https://www.ethnologue.com/language/yuy/,https://en.wikipedia.org/wiki/Yuracaré_language
Movima,mzp,200,https://www.ethnologue.com/language/mzp/,https://en.wikipedia.org/wiki/Movima_language
Sirionó,sre,150,https://www.ethnologue.com/language/sre/,https://en.wikipedia.org/wiki/Sirionó_language
Araona,aro,80,https://www.ethnologue.com/language/aro/,https://en.wikipedia.org/wiki/Araona_language
Leco,lec,35,https://www.ethnologue.com/language/lec/,https://en.wikipedia.org/wiki/Leco_language
Machinere,mpd,20,https://www.ethnologue.com/language/mpd/,https://en.wikipedia.org/wiki/Mashco_Piro_language
Itene,ite,10,https://www.ethnologue.com/language/ite/,https://en.wikipedia.org/wiki/Itene_language
Baure,brg,10,https://www.ethnologue.com/language/brg/,https://en.wikipedia.org/wiki/Baure_language
Yaminahua,yaa,10,https://www.ethnologue.com/language/yaa/,https://en.wikipedia.org/wiki/Yaminawa_language
Canichana,caz,0,https://www.ethnologue.com/language/caz/,https://en.wikipedia.org/wiki/Canichana_language
Cayubaba,cyb,0,https://www.ethnologue.com/language/cyb/,https://en.wikipedia.org/wiki/Cayubaba_language
Itonama,ito,0,https://www.ethnologue.com/language/ito/,https://en.wikipedia.org/wiki/Itonama_language
Pacahuara,pcp,0,https://www.ethnologue.com/language/pcp/,https://en.wikipedia.org/wiki/Pacahuara_language
Toromono,tno,0,https://www.ethnologue.com/language/tno/,https://en.wikipedia.org/wiki/Toromono_language
Jorá,jor,0,https://www.ethnologue.com/language/jor/,https://en.wikipedia.org/wiki/Jorá_language
Callawalla,caw,0,https://www.ethnologue.com/language/caw/,https://en.wikipedia.org/wiki/Kallawaya_language
